id,channel_id,duration(sec),domain
jE88Qm92eoI,UCAjBd-r8JWfnRjfhg23nqLQ,1310,news debates
4rcgR1AdRdQ,UCKUq0fgjo6fzBk0xSI4Um7w,2409,tv serials
GhwYj2EUXNI,UCBMgVLD4TaNFiZLNB60WMgg,244,political debates
BoYjQKAizXY,UCGPzKkPc91IrC4vjgXZ3sHQ,1181,education debates
tAy5u1vljeY,UCKUq0fgjo6fzBk0xSI4Um7w,32,tv serials
3eAXje3F1QU,UCKUq0fgjo6fzBk0xSI4Um7w,1287,tv serials
lGhi6Ed9FDc,UCBMgVLD4TaNFiZLNB60WMgg,3484,political debates
z9QGk_bPdA4,UCAjBd-r8JWfnRjfhg23nqLQ,2290,news debates
4HfK_gP0OT0,UCBMgVLD4TaNFiZLNB60WMgg,56,political debates
mMxMmiPZyDE,UC7HAjwNSEFYtZY0_Hd7k9TA,258,astrology
RxG7ZcwZ-2E,UCKJx-AjPsu3nJuOhfDOvx-A,636,"film interview,education interview"
2jdK46YIGHY,UCv5KsGwkGEpNe55ElbXqRUw,610,vlogs
tE0224B75hM,UCY5Y5DJc-Heqyyk_pzLtiJA,619,vlogs
0Gjah-n5j7g,UCBMgVLD4TaNFiZLNB60WMgg,1176,political debates
bwa2BwLZbn4,UCBMgVLD4TaNFiZLNB60WMgg,121,political debates
beruiAL6clY,UCKUq0fgjo6fzBk0xSI4Um7w,45,tv serials
6Ar6jsUwTE4,UC52T8O64ue2-HFXofteUFsQ,142,education debates
geUJRaSAdqI,UCKUq0fgjo6fzBk0xSI4Um7w,1211,tv serials
54NLQV6cZS0,UCBMgVLD4TaNFiZLNB60WMgg,135,political debates
EHK3Cjijxes,UC9bV8KDMEIQtDJPufMBnLgQ,406,tv mega serial
ZnDEEEEjVzk,UCSf6RNnLmWqIddnKQd1Rsng,546,kids stories
iQ0U56iTL9o,UCdR1pkCTa6NxErBetiMtdfQ,193,"health,fitness"
rwOLgBx9YXU,UCBMgVLD4TaNFiZLNB60WMgg,133,political debates
