id,channel_id,duration(sec),domain
2LLRXtAUtpE,UC9s9Pc3yZ6n3ckfnjS_D1dQ,333,cooking
YOvv5duUCz8,UCCRI9-6NyKqt1jj9YFbRLmQ,181,standup comedy
-yXYFUcQvM4,UCU-Eb2wuhB3PP4J9eLPvhFw,91,
2xgZNc94vZo,UC0ZA82ZHkDVxOKkzM6U0sow,415,education roundtables
64l8hQ_TLtg,UCCRI9-6NyKqt1jj9YFbRLmQ,186,standup comedy
F_aHGhy6yYY,UCCRI9-6NyKqt1jj9YFbRLmQ,226,standup comedy
7sU1G6ejFr8,UC8e8pGUfxubzuZUvW43O3Gg,903,news
-TkpBEM6RrA,UCU-Eb2wuhB3PP4J9eLPvhFw,140,
3cNQD6g0EjI,UCaIwI_ZaAiP4PBJ5B1UEBaA,131,education talk shows
1ITkhn1RWsM,UCCRI9-6NyKqt1jj9YFbRLmQ,204,standup comedy
RAFcq3JYxDs,UCkJO8Zdo5MVapPvqPLNrPgg,288,
ZVBih04IsLo,UCkJO8Zdo5MVapPvqPLNrPgg,179,
D85M3KIqznc,UCU-Eb2wuhB3PP4J9eLPvhFw,222,
0CFCkcHUbBQ,UCU-Eb2wuhB3PP4J9eLPvhFw,171,
4MXj7uD5Oyc,UC2j3bHA3wS3-48EyG_VM3Xw,262,entertainment talk shows
0xh62kWGEqo,UCMajJSPxYtIS-p7ATxpiiPw,199,spiritual videos
0sgTE52RFtI,UCkJO8Zdo5MVapPvqPLNrPgg,433,
1q9H3Jo-r7M,UCU-Eb2wuhB3PP4J9eLPvhFw,1790,
1qepcEXuN48,UCnOZHp3GNHHBSFEDBmwDajA,73,
_Bxkq6bpjPU,UCU-Eb2wuhB3PP4J9eLPvhFw,337,
8T2QxuvI9yc,UCaIwI_ZaAiP4PBJ5B1UEBaA,110,education talk shows
2Ev52MAaegQ,UCaIwI_ZaAiP4PBJ5B1UEBaA,39,education talk shows
1ZTPhNk2LrM,UCaIwI_ZaAiP4PBJ5B1UEBaA,279,education talk shows
2lEE9NkLi9Q,UCU-Eb2wuhB3PP4J9eLPvhFw,364,
a3bJRv6ebkQ,UC9s9Pc3yZ6n3ckfnjS_D1dQ,125,cooking
7Ou7Saa5444,UC8e8pGUfxubzuZUvW43O3Gg,971,news
3-GmDOYsiyM,UC8e8pGUfxubzuZUvW43O3Gg,307,news
0KAK27hPXIM,UCU-Eb2wuhB3PP4J9eLPvhFw,301,
2SW-gjODY2Y,UC8e8pGUfxubzuZUvW43O3Gg,317,news
DDfbpLjYweA,UCA6k93K85EV1jdajTAYmhIQ,91,standup comedy
JlEdAbKx_LE,UC9s9Pc3yZ6n3ckfnjS_D1dQ,93,cooking
GdHvOZWZpE4,UC2G0tN_ac-uzVQCQ3Ep4avw,820,
G1Zwo3jbEEc,UCaIwI_ZaAiP4PBJ5B1UEBaA,99,education talk shows
IKVrg2-YU8Y,UCizurDUqELRFqNwsOI3KNVg,810,entertainment
KwCRRlMleoY,UCaIwI_ZaAiP4PBJ5B1UEBaA,1849,education talk shows
WkYbN51Babw,UC8e8pGUfxubzuZUvW43O3Gg,355,news
6fmeBnYbNqQ,UCU-Eb2wuhB3PP4J9eLPvhFw,294,
Ek6gXSyTfS4,UCnOZHp3GNHHBSFEDBmwDajA,150,
oJRXyL1_4x0,UCMajJSPxYtIS-p7ATxpiiPw,530,spiritual videos
UwQUZoFrJSw,UCCRI9-6NyKqt1jj9YFbRLmQ,60,standup comedy
7O4PQX9MKJI,UCaIwI_ZaAiP4PBJ5B1UEBaA,105,education talk shows
3VzCNe2xPAw,UCMajJSPxYtIS-p7ATxpiiPw,100,spiritual videos
AzqI9V0nyZw,UCMajJSPxYtIS-p7ATxpiiPw,946,spiritual videos
tTbiEPJzlVE,UCMajJSPxYtIS-p7ATxpiiPw,1185,spiritual videos
mi7RgBzaXWo,UCNbDVduCnLmHSUiR-cNp_rg,171,
FBVWk7XLYxc,UCkJO8Zdo5MVapPvqPLNrPgg,316,
wCklBePwJG0,UCaIwI_ZaAiP4PBJ5B1UEBaA,44,education talk shows
2IV179T4AX0,UCaIwI_ZaAiP4PBJ5B1UEBaA,45,education talk shows
v5bBdG_dITs,UCPIQ5alLm7nNic_DLct-nRQ,1215,
4ARHbas1S1s,UC9s9Pc3yZ6n3ckfnjS_D1dQ,57,cooking
FMlSc-j8T6g,UC2j3bHA3wS3-48EyG_VM3Xw,875,entertainment talk shows
9aPJroHMBCE,UCkJO8Zdo5MVapPvqPLNrPgg,219,
