id,channel_id,duration(sec),domain
v0L_QXHINRg,UCOqU-HfQxoyImaCW2tCDxJA,1840,"news debates,news panel discussions,news roundtables,news talk shows"
ZcTQfnuKxIE,UCOqU-HfQxoyImaCW2tCDxJA,910,"news debates,news panel discussions,news roundtables,news talk shows"
idllHqfRqBM,UCOqU-HfQxoyImaCW2tCDxJA,305,"news debates,news panel discussions,news roundtables,news talk shows"
JWUlVDGBeoI,UCOqU-HfQxoyImaCW2tCDxJA,800,"news debates,news panel discussions,news roundtables,news talk shows"
zqgQoLAoR8o,UCOqU-HfQxoyImaCW2tCDxJA,920,"news debates,news panel discussions,news roundtables,news talk shows"
XpiF-Tn2tDU,UCOqU-HfQxoyImaCW2tCDxJA,1090,"news debates,news panel discussions,news roundtables,news talk shows"
fNNFsGWeWEo,UCOqU-HfQxoyImaCW2tCDxJA,885,"news debates,news panel discussions,news roundtables,news talk shows"
DYjEbgReZ6w,UCOqU-HfQxoyImaCW2tCDxJA,890,"news debates,news panel discussions,news roundtables,news talk shows"
CZbjqjB4LS4,UCOqU-HfQxoyImaCW2tCDxJA,1475,"news debates,news panel discussions,news roundtables,news talk shows"
K89mSUZeqas,UCOqU-HfQxoyImaCW2tCDxJA,2855,"news debates,news panel discussions,news roundtables,news talk shows"
Es3gOPjjxqU,UCOqU-HfQxoyImaCW2tCDxJA,790,"news debates,news panel discussions,news roundtables,news talk shows"
Z7WTwqo2j_0,UCOqU-HfQxoyImaCW2tCDxJA,1705,"news debates,news panel discussions,news roundtables,news talk shows"
LJ5WZP6Rgxc,UCOqU-HfQxoyImaCW2tCDxJA,1895,"news debates,news panel discussions,news roundtables,news talk shows"
_WCWtEuHCVw,UCOqU-HfQxoyImaCW2tCDxJA,1490,"news debates,news panel discussions,news roundtables,news talk shows"
fc1JKpiPExI,UCOqU-HfQxoyImaCW2tCDxJA,1875,"news debates,news panel discussions,news roundtables,news talk shows"
hCANrs7xTfY,UCOqU-HfQxoyImaCW2tCDxJA,325,"news debates,news panel discussions,news roundtables,news talk shows"
LXKhnUx_1sE,UCOqU-HfQxoyImaCW2tCDxJA,1485,"news debates,news panel discussions,news roundtables,news talk shows"
xy6u-OO8At4,UCOqU-HfQxoyImaCW2tCDxJA,1620,"news debates,news panel discussions,news roundtables,news talk shows"
P9XF_cHrkK8,UCOqU-HfQxoyImaCW2tCDxJA,1680,"news debates,news panel discussions,news roundtables,news talk shows"
hlG5srcAARI,UCOqU-HfQxoyImaCW2tCDxJA,320,"news debates,news panel discussions,news roundtables,news talk shows"
6OV0L_RxNRs,UCOqU-HfQxoyImaCW2tCDxJA,950,"news debates,news panel discussions,news roundtables,news talk shows"
TBMvtRdCBpU,UCOqU-HfQxoyImaCW2tCDxJA,1655,"news debates,news panel discussions,news roundtables,news talk shows"
1YuuG15mVy0,UCOqU-HfQxoyImaCW2tCDxJA,1795,"news debates,news panel discussions,news roundtables,news talk shows"
-qc_IfDv9Fc,UCOqU-HfQxoyImaCW2tCDxJA,1590,"news debates,news panel discussions,news roundtables,news talk shows"
Rah1Az6cu-s,UCOqU-HfQxoyImaCW2tCDxJA,1795,"news debates,news panel discussions,news roundtables,news talk shows"
SdD7rRUIwJM,UCOqU-HfQxoyImaCW2tCDxJA,805,"news debates,news panel discussions,news roundtables,news talk shows"
n2q5RkpFRDU,UCOqU-HfQxoyImaCW2tCDxJA,835,"news debates,news panel discussions,news roundtables,news talk shows"
yulV492CFCg,UCOqU-HfQxoyImaCW2tCDxJA,815,"news debates,news panel discussions,news roundtables,news talk shows"
QRzWFo78gnk,UCOqU-HfQxoyImaCW2tCDxJA,600,"news debates,news panel discussions,news roundtables,news talk shows"
1KVG14z828E,UCOqU-HfQxoyImaCW2tCDxJA,985,"news debates,news panel discussions,news roundtables,news talk shows"
cXIMZmE1r-Y,UCOqU-HfQxoyImaCW2tCDxJA,905,"news debates,news panel discussions,news roundtables,news talk shows"
nlp1trPS5tw,UCOqU-HfQxoyImaCW2tCDxJA,835,"news debates,news panel discussions,news roundtables,news talk shows"
MLr8eZUZKVo,UCOqU-HfQxoyImaCW2tCDxJA,850,"news debates,news panel discussions,news roundtables,news talk shows"
u5-vVTGcKcU,UCOqU-HfQxoyImaCW2tCDxJA,850,"news debates,news panel discussions,news roundtables,news talk shows"
-6vBA7JEcEk,UCOqU-HfQxoyImaCW2tCDxJA,795,"news debates,news panel discussions,news roundtables,news talk shows"
DQip-6higQw,UCOqU-HfQxoyImaCW2tCDxJA,915,"news debates,news panel discussions,news roundtables,news talk shows"
PNUVilRWRME,UCOqU-HfQxoyImaCW2tCDxJA,725,"news debates,news panel discussions,news roundtables,news talk shows"
9xCMr3-FVyM,UCOqU-HfQxoyImaCW2tCDxJA,1000,"news debates,news panel discussions,news roundtables,news talk shows"
A7ShBmEya1k,UCOqU-HfQxoyImaCW2tCDxJA,825,"news debates,news panel discussions,news roundtables,news talk shows"
S_0L-ROYHZs,UCOqU-HfQxoyImaCW2tCDxJA,820,"news debates,news panel discussions,news roundtables,news talk shows"
Q3YH3imnD2g,UCOqU-HfQxoyImaCW2tCDxJA,1045,"news debates,news panel discussions,news roundtables,news talk shows"
YrpBy_cACpQ,UCOqU-HfQxoyImaCW2tCDxJA,925,"news debates,news panel discussions,news roundtables,news talk shows"
3C6F0NdJbZ8,UCOqU-HfQxoyImaCW2tCDxJA,1675,"news debates,news panel discussions,news roundtables,news talk shows"
Qewr9p89E_4,UCOqU-HfQxoyImaCW2tCDxJA,950,"news debates,news panel discussions,news roundtables,news talk shows"
s7V5pIcndcw,UCOqU-HfQxoyImaCW2tCDxJA,1845,"news debates,news panel discussions,news roundtables,news talk shows"
9-w3eU3n4r0,UCOqU-HfQxoyImaCW2tCDxJA,540,"news debates,news panel discussions,news roundtables,news talk shows"
pR3wMNGyrpg,UCOqU-HfQxoyImaCW2tCDxJA,310,"news debates,news panel discussions,news roundtables,news talk shows"
XTq6w0V4sCc,UCOqU-HfQxoyImaCW2tCDxJA,300,"news debates,news panel discussions,news roundtables,news talk shows"
e4uBe1O9Pq8,UCOqU-HfQxoyImaCW2tCDxJA,1835,"news debates,news panel discussions,news roundtables,news talk shows"
rmEiPDEdbuw,UCOqU-HfQxoyImaCW2tCDxJA,1665,"news debates,news panel discussions,news roundtables,news talk shows"
IZK__ttGYbs,UCOqU-HfQxoyImaCW2tCDxJA,870,"news debates,news panel discussions,news roundtables,news talk shows"
Qp142kgUDAA,UCOqU-HfQxoyImaCW2tCDxJA,1830,"news debates,news panel discussions,news roundtables,news talk shows"
9P5288WuEyQ,UCOqU-HfQxoyImaCW2tCDxJA,1725,"news debates,news panel discussions,news roundtables,news talk shows"
psQzy8nDXm4,UCOqU-HfQxoyImaCW2tCDxJA,845,"news debates,news panel discussions,news roundtables,news talk shows"
LWJD3smSyWQ,UCOqU-HfQxoyImaCW2tCDxJA,1570,"news debates,news panel discussions,news roundtables,news talk shows"
9mvz7Kqe07c,UCOqU-HfQxoyImaCW2tCDxJA,1740,"news debates,news panel discussions,news roundtables,news talk shows"
dQXCSr82GP8,UCOqU-HfQxoyImaCW2tCDxJA,1740,"news debates,news panel discussions,news roundtables,news talk shows"
gAk_ZAFr4vU,UCOqU-HfQxoyImaCW2tCDxJA,1110,"news debates,news panel discussions,news roundtables,news talk shows"
Una-F5i-ntM,UCOqU-HfQxoyImaCW2tCDxJA,895,"news debates,news panel discussions,news roundtables,news talk shows"
cwTLyTPCCYc,UCOqU-HfQxoyImaCW2tCDxJA,925,"news debates,news panel discussions,news roundtables,news talk shows"
cuYY-z3N7_Q,UCOqU-HfQxoyImaCW2tCDxJA,1635,"news debates,news panel discussions,news roundtables,news talk shows"
dKPznFx5__Y,UCOqU-HfQxoyImaCW2tCDxJA,850,"news debates,news panel discussions,news roundtables,news talk shows"
cxOX9dr91JE,UCOqU-HfQxoyImaCW2tCDxJA,3545,"news debates,news panel discussions,news roundtables,news talk shows"
9yvh1etEBFw,UCOqU-HfQxoyImaCW2tCDxJA,670,"news debates,news panel discussions,news roundtables,news talk shows"
dLxAHgfPxas,UCOqU-HfQxoyImaCW2tCDxJA,870,"news debates,news panel discussions,news roundtables,news talk shows"
cyWoVwuoztQ,UCOqU-HfQxoyImaCW2tCDxJA,1985,"news debates,news panel discussions,news roundtables,news talk shows"
A6L_6NFHHy0,UCOqU-HfQxoyImaCW2tCDxJA,380,"news debates,news panel discussions,news roundtables,news talk shows"
A7xVz5wCY7A,UCOqU-HfQxoyImaCW2tCDxJA,730,"news debates,news panel discussions,news roundtables,news talk shows"
mDxt0yB87fE,UCOqU-HfQxoyImaCW2tCDxJA,885,"news debates,news panel discussions,news roundtables,news talk shows"
4RKbwQweGYg,UCOqU-HfQxoyImaCW2tCDxJA,820,"news debates,news panel discussions,news roundtables,news talk shows"
efNGYGzgFSE,UCOqU-HfQxoyImaCW2tCDxJA,890,"news debates,news panel discussions,news roundtables,news talk shows"
