id,channel_id,duration(sec),domain
ijhZ7V3aKGQ,UCLJi2Zps15e1jCCIUfZaPCA,372,music
kvSly4txJxw,UCtK-nd3rPl_eLeMappMWcWw,280,music
FbaO9UvzKew,UCLJi2Zps15e1jCCIUfZaPCA,337,music
1C3thGLnTMg,UCLJi2Zps15e1jCCIUfZaPCA,654,music
dk8COflb74Q,UCLJi2Zps15e1jCCIUfZaPCA,1085,music
nWlww0GqV3g,UCLJi2Zps15e1jCCIUfZaPCA,541,music
u7RZXGyAOjs,UCLJi2Zps15e1jCCIUfZaPCA,347,music
qN3v3xdiFGM,UCtR3hDuN5BMW9PHo9GTqTwQ,392,music
hjowRlnmBKo,UC41hszq3ex3RFkRD9rAFO-w,366,music
iGUGMk0H8iU,UC41hszq3ex3RFkRD9rAFO-w,447,music
iGk85511SiE,UC6OH4tj0WzUsxxx_C3K5q5A,379,"entertainment talk shows,vlogs"
jfD86AVY9pE,UC6OH4tj0WzUsxxx_C3K5q5A,297,"entertainment talk shows,vlogs"
lP6mCgR6ylM,UCtK-nd3rPl_eLeMappMWcWw,686,music
zdl-bGpwdDI,UCNMujyFCJxcHlvIMekaBuDw,459,music
5Zj72TJZG7U,UCLJi2Zps15e1jCCIUfZaPCA,632,music
DYdVp_lFO4g,UCLJi2Zps15e1jCCIUfZaPCA,476,music
EF05t7w7o5Y,UCLJi2Zps15e1jCCIUfZaPCA,459,music
KVgc1aIXTYU,UCLJi2Zps15e1jCCIUfZaPCA,441,music
iGzjBe7ehcA,UCNMujyFCJxcHlvIMekaBuDw,301,music
r8ePLP2bg-s,UC41hszq3ex3RFkRD9rAFO-w,1784,music
ija54vrbEWk,UCNMujyFCJxcHlvIMekaBuDw,278,music
ljCGWkREZkM,UCtK-nd3rPl_eLeMappMWcWw,460,music
hoin7dwFySI,UC73lNsweYibxCeQ3r48YUAQ,387,vlogs
mdhUQBY9NXY,UCCVwvfRvKZBH-WVv5701iwQ,206,music
jERYOIdVdiQ,UCNMujyFCJxcHlvIMekaBuDw,384,music
inrNpmm0Y7M,UCNMujyFCJxcHlvIMekaBuDw,240,music
hezIrWkD-HA,UCKEQRtPWHkth-qAgpXkGTiA,823,music
hgt8fqm3UGQ,UCtK-nd3rPl_eLeMappMWcWw,1445,music
hhpp9cYUmhI,UCtR3hDuN5BMW9PHo9GTqTwQ,351,music
hiNElMh9Dn0,UCijCXB1S7FVC6GnJ2t8qw7Q,213,music
hiuCXhaex8A,UCtR3hDuN5BMW9PHo9GTqTwQ,411,music
hiunWkNJMGI,UCijCXB1S7FVC6GnJ2t8qw7Q,208,music
hk4hfVXTKlU,UCtK-nd3rPl_eLeMappMWcWw,395,music
hmt2FBU9bZs,UCijCXB1S7FVC6GnJ2t8qw7Q,357,music
hnhQ3vbahOs,UCijCXB1S7FVC6GnJ2t8qw7Q,189,music
hnhg1B2dnUA,UC73lNsweYibxCeQ3r48YUAQ,580,vlogs
hnsrsBwy2tw,UCijCXB1S7FVC6GnJ2t8qw7Q,199,music
horHmhVtVU8,UC73lNsweYibxCeQ3r48YUAQ,691,vlogs
hpPQWpDLCeQ,UCijCXB1S7FVC6GnJ2t8qw7Q,236,music
hq6X3sp9kdM,UCvjnIKVz_oky21epj5WNtmQ,89,music
hqIRrna28VQ,UCZCpHpF-g9X_pDM_81iJHmA,161,tv serials
hqc764Vb-uY,UC4SqF4b1eqJal3b4RmOzP1w,375,music
hqiBU2L_bqE,UC6OH4tj0WzUsxxx_C3K5q5A,327,"entertainment talk shows,vlogs"
hr5pRxNKSAs,UC6OH4tj0WzUsxxx_C3K5q5A,306,"entertainment talk shows,vlogs"
hrZdWF-KMQ8,UCijCXB1S7FVC6GnJ2t8qw7Q,205,music
hrfXB6delN8,UCijCXB1S7FVC6GnJ2t8qw7Q,609,music
htThsevP8Fk,UCvjnIKVz_oky21epj5WNtmQ,299,music
htv8lqv_59c,UCtK-nd3rPl_eLeMappMWcWw,379,music
hu9q3UsZHrk,UC41hszq3ex3RFkRD9rAFO-w,347,music
hv0aAy1KKfU,UCZCpHpF-g9X_pDM_81iJHmA,142,tv serials
hvzrDGo_HTk,UCtR3hDuN5BMW9PHo9GTqTwQ,1701,music
hwBEG5Vn-xo,UC41hszq3ex3RFkRD9rAFO-w,310,music
hwn5swnHlNw,UCKEQRtPWHkth-qAgpXkGTiA,691,music
hy8DLy4Di1Y,UCijCXB1S7FVC6GnJ2t8qw7Q,209,music
hzeUXbpW7Xk,UCynPU4fxviv6LMJiuizKqiQ,644,tv serials
jT196bveAQ8,UCtK-nd3rPl_eLeMappMWcWw,432,music
hzp19ZE2VBU,UCtK-nd3rPl_eLeMappMWcWw,336,music
i0MS5UKA8Ek,UCtK-nd3rPl_eLeMappMWcWw,449,music
i0MXBfalCrI,UCijCXB1S7FVC6GnJ2t8qw7Q,152,music
i1nS9r6Np1c,UCtR3hDuN5BMW9PHo9GTqTwQ,315,music
