id,channel_id,duration(sec),domain
sUr9L_WUXNY,UCZ8S3qwowiFztAQBRTawWfA,1628,politics talk shows
WuAOdU_YhQs,UCZ8S3qwowiFztAQBRTawWfA,1246,politics talk shows
h5fFD3kdoOg,UCZ8S3qwowiFztAQBRTawWfA,472,politics talk shows
BLT5TAMUYYE,UCZ8S3qwowiFztAQBRTawWfA,1591,politics talk shows
9WAEE5_KxdI,UCZ8S3qwowiFztAQBRTawWfA,197,politics talk shows
M--sxgCK6Kw,UCZ8S3qwowiFztAQBRTawWfA,2035,politics talk shows
PGKMh6Wz-EQ,UCZ8S3qwowiFztAQBRTawWfA,50,politics talk shows
eOzerZwhiSQ,UCZ8S3qwowiFztAQBRTawWfA,321,politics talk shows
DjwjSlkAJfs,UCZ8S3qwowiFztAQBRTawWfA,1612,politics talk shows
i8iULiShzss,UCZ8S3qwowiFztAQBRTawWfA,432,politics talk shows
5FPEjk7QVFQ,UCZ8S3qwowiFztAQBRTawWfA,62,politics talk shows
bEcvCqIRClk,UCZ8S3qwowiFztAQBRTawWfA,40,politics talk shows
j15ScSnNv6g,UCvcgnCkXhWaXrDxTbf15sOQ,1439,political speech
WC6VC84Vy1c,UCZ8S3qwowiFztAQBRTawWfA,405,politics talk shows
szLPUy4uboE,UCZ8S3qwowiFztAQBRTawWfA,1045,politics talk shows
Zy1ZlrfBkKg,UCZ8S3qwowiFztAQBRTawWfA,1506,politics talk shows
g0ARdsvzRks,UCZ8S3qwowiFztAQBRTawWfA,489,politics talk shows
o2Pnpc6Fa0Y,UCZ8S3qwowiFztAQBRTawWfA,613,politics talk shows
ochujLOhoiE,UCZ8S3qwowiFztAQBRTawWfA,83,politics talk shows
bK_9uJazFY0,UCZ8S3qwowiFztAQBRTawWfA,384,politics talk shows
sUAYHw2-q8s,UCZ8S3qwowiFztAQBRTawWfA,55,politics talk shows
XG_rm8row2g,UCZ8S3qwowiFztAQBRTawWfA,220,politics talk shows
-hMdS3Xn_lo,UCZ8S3qwowiFztAQBRTawWfA,68,politics talk shows
LnCi24zr4J8,UCZ8S3qwowiFztAQBRTawWfA,997,politics talk shows
3aquxXPhxjM,UCZ8S3qwowiFztAQBRTawWfA,536,politics talk shows
XNArrGJOgio,UCZ8S3qwowiFztAQBRTawWfA,1567,politics talk shows
