id,channel_id,duration(sec),domain
AXU3iMMNLBY,UC4ufoTErswurxcoTgRrMHJQ,101,
TxQp0drCdwg,UC4ufoTErswurxcoTgRrMHJQ,379,
lcDoh1W-TQc,UC4ufoTErswurxcoTgRrMHJQ,138,
14c_Dbuii9c,UC4ufoTErswurxcoTgRrMHJQ,238,
3WGCOW9HfGs,UC4ufoTErswurxcoTgRrMHJQ,424,
qyUIkltHOGQ,UCR4It1kvKVxf4TvCpj8LIig,127,
x8RtV_rmMLE,UCR4It1kvKVxf4TvCpj8LIig,151,
tZU6H3vODJU,UCR4It1kvKVxf4TvCpj8LIig,170,
oUjT831LWKI,UCR4It1kvKVxf4TvCpj8LIig,223,
uZG2mGqWsYg,UCR4It1kvKVxf4TvCpj8LIig,268,
yY4VKfEPgC8,UCR4It1kvKVxf4TvCpj8LIig,182,
yknMMHNLOqw,UCR4It1kvKVxf4TvCpj8LIig,142,
13zn32Ng9qE,UCEdsggWdarIycXme-9D3mPg,26,
bbdx1mAmDQM,UCEdsggWdarIycXme-9D3mPg,35,
cKXzAiC7Whk,UCEdsggWdarIycXme-9D3mPg,35,
Wx0jfYgY9AE,UCEdsggWdarIycXme-9D3mPg,37,
duB_8eUKD-w,UCEdsggWdarIycXme-9D3mPg,38,
g1dFWmlpQfk,UCEdsggWdarIycXme-9D3mPg,31,
SnvYKJpkwUI,UCEdsggWdarIycXme-9D3mPg,32,
Q6HN9tn5UvA,UCEdsggWdarIycXme-9D3mPg,35,
SWZRx4bLbCA,UCEdsggWdarIycXme-9D3mPg,33,
V-f2GWZ39j8,UCEdsggWdarIycXme-9D3mPg,34,
zxKMvjym_eA,UCF8Wp4kyb7jMBJmiyihzwjg,483,education interview
k-xjwYZYj0s,UCF8Wp4kyb7jMBJmiyihzwjg,207,education interview
pVE2CYzlnaw,UCF8Wp4kyb7jMBJmiyihzwjg,159,education interview
uMJM6NysERE,UCF8Wp4kyb7jMBJmiyihzwjg,224,education interview
qKz2nLQeMX4,UCF8Wp4kyb7jMBJmiyihzwjg,511,education interview
23KrKMyqEks,UCF8Wp4kyb7jMBJmiyihzwjg,53,education interview
5Z7uMLNcY1Y,UCF8Wp4kyb7jMBJmiyihzwjg,35,education interview
6veamQORI84,UCF8Wp4kyb7jMBJmiyihzwjg,170,education interview
yzSAskURyMM,UCF8Wp4kyb7jMBJmiyihzwjg,123,education interview
qg8BwhTEBR8,UCF8Wp4kyb7jMBJmiyihzwjg,89,education interview
-RjmFHZU2i4,UCdkGS0SpZRzkGWW1aoajsqA,361,movie review
QJXVN7ftj1w,UCF8Wp4kyb7jMBJmiyihzwjg,124,education interview
8vQyWQ2hreI,UC825yNal8_9RWpKkTMhqbqg,276,entertainment talk shows
CABBYItNv6w,UC825yNal8_9RWpKkTMhqbqg,226,entertainment talk shows
GHZ0ncgJWr0,UC825yNal8_9RWpKkTMhqbqg,320,entertainment talk shows
gFQOC0ILwX8,UC825yNal8_9RWpKkTMhqbqg,347,entertainment talk shows
BrzEWD2uRTg,UC0j858BPxi5H-l3koAYdW1g,249,vlogs
oyIuxX85BLM,UC825yNal8_9RWpKkTMhqbqg,300,entertainment talk shows
7tBJpy75OjE,UC825yNal8_9RWpKkTMhqbqg,331,entertainment talk shows
9fhMvtjmk4o,UC825yNal8_9RWpKkTMhqbqg,264,entertainment talk shows
FWN8pNMQAZA,UC825yNal8_9RWpKkTMhqbqg,222,entertainment talk shows
-r9k9M9Plps,UCzUHhTo5O4Abc7wDgfgXBrw,275,politics talk shows
LF5YKDMPZMc,UCzUHhTo5O4Abc7wDgfgXBrw,358,politics talk shows
K7W-XWXTnLY,UCzUHhTo5O4Abc7wDgfgXBrw,430,politics talk shows
I_Fj0wcNVUI,UCzUHhTo5O4Abc7wDgfgXBrw,579,politics talk shows
ItJBmA0j-bQ,UCzUHhTo5O4Abc7wDgfgXBrw,651,politics talk shows
