id,title
AXU3iMMNLBY,Ajay Devgan and Aishwarya Rai Bachchan Sad emotional scene in Santali
TxQp0drCdwg,ᱦᱟᱸᱥᱫᱟᱜ ᱟᱨ ᱢᱩᱨᱢᱩ ᱦᱚᱲ ᱠᱚᱣᱟᱜ ᱠᱟᱛᱷᱟ|| Hansda ar Murmu hoṛ koaḱ katha full explained in Santali
lcDoh1W-TQc,ᱦᱟᱹᱛᱤ ᱠᱚ ᱦᱤᱡᱩᱜ ᱠᱟᱱᱟ ᱟᱹᱛᱩ ᱨᱮ
14c_Dbuii9c,ᱯᱷᱳᱱ ᱭᱩᱨᱤᱱ ᱛᱮ ᱦᱚᱸ ᱪᱟᱨᱡᱽ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ|| फ़ोन पेशाब ते चार्ज एदाय||Santali fact Video
3WGCOW9HfGs,ᱜᱚᱡ ᱦᱚᱲ ᱪᱮᱛᱟᱱᱨᱮ ᱱᱟᱶᱟ ᱞᱩᱜᱽᱲᱤᱜ|| Goj hor chetan re nawa lugrig || Bijendra Hansda || goj hor chetanre
qyUIkltHOGQ,Gulachi Baha New Santali Video//Rajendra Soren//Parsi Mandi//Deepa Singh//Bahadur Soren
x8RtV_rmMLE,Nowa Danguwa Mone 🥀New Santali Promotion Video//Asish//Adwita @SagunDaram
tZU6H3vODJU,Bullet Gadi 2 //Sundar Gori New Santali Video 2023//Romeo Baskey//Geet @SagunDaram
oUjT831LWKI,ᱟᱥᱟᱞ ᱵᱚᱸᱜᱟ New Santali Video 🥀 Information Video 🥀 Romeo Baskey//Urmila Marandi @SagunDaram
uZG2mGqWsYg,ᱵᱟᱞᱮ ᱥᱟᱠᱟᱢ New Santali Promotion Video 🥀 Romeo Baskey 🌿Miranda @SagunDaram
yY4VKfEPgC8,ᱞᱩᱸᱭᱤᱠ ᱞᱩᱹᱭᱤᱠ New Santali Video 🥀 Information Video 🥀 Romeo Baskey 🥀 Rani Deogam @SagunDaram
yknMMHNLOqw,New Santali Video 2022//Sari Dular//Mone Arsee//Liman Hembram//Geet Chetry @SagunDaram
13zn32Ng9qE,ᱫᱩᱞᱟᱲ ᱵᱚᱸᱫᱷᱚᱱNew Santali Status Video 🥀 Asish 🥀 Nandini @FutureArsiCreation
bbdx1mAmDQM,4K New Santali Whatsapp Status Video 2022@FutureArsiCreation @rahulkumartuduofficial476
cKXzAiC7Whk,4k New Santali Status Video 2022//Satyam//Deepa @swarnachampaproduction7010
Wx0jfYgY9AE,4K NEW SANTALI STATUS VIDEO 2022//PHOOL KUMARI NEW SANTALI PROMO VIDEO @sunitaproductionhouse 🥀💘
duB_8eUKD-w,4K New Santali Whatsapp Status Video 2022//Luka Chhupi New Promo Video @sonusorenentertainment6414
g1dFWmlpQfk,4k New Santali Status Video 2022//Kunami Chando New Santali Promo Video @Gouriraniproduction 🥀💓💘
SnvYKJpkwUI,New Santali 4k Status Video 2022//Hoyte Otang En New Santali Video @FutureArsiCreation 🌿🌾
Q6HN9tn5UvA,4K NEW SANTALI STATUS VIDEO 2022//BUSH GUDU 2 NEW SANTALI PROMO VIDEO @chandomamo 🥀💝💘
SWZRx4bLbCA,4K New Santali Whatsapp Status Video 2022//Dil Rem Basayena New Video @birbalhentertainment5400 🥀💘🥀
V-f2GWZ39j8,4K New Santali Whatsapp Status Video 2022//Jiwi Rani New Promo Video @AKADIVASIPRODUCTION 🥀🌿🥀
zxKMvjym_eA,"গীতা মুর্মু অন্যের সেবা করতে জীবন বিপন্ন করেছেন,এখন তাঁর চিকিৎসার জন্য স্বহৃদয় ব্যক্তি প্রয়োজন।"
k-xjwYZYj0s,বীরভূমের  মহঃ বাজারের  ওসি সাগরবান্দি আদিবাসী গ্রামের ১৪০ টি পরিবারের হাতে খাদ্য সামগ্রী তুলে দিলেন
pVE2CYzlnaw,"ঝাড়খন্ডে আংশিক লকডাউনে  অসন্তোষ দুমকা জেলায়,হাট করতে আসা সাধারন মানুষ পুলিশের গাড়ি তাড়া করছে।"
uMJM6NysERE,কবি গুরু সাধুরাম চাঁদ মুরমু আঃ ১২৪তম জানাম মাহা মানাও কামার বাঁদি আতোরে ।
qKz2nLQeMX4,সান্তাড় সেরওয়ারেনাঃ গরব আনাঃ নাটুওয়া দন মহরমেটাঃ ডাহাররে।
23KrKMyqEks,করোনা সতর্ক বার্তা দিতে রাস্তায় বাঁকুড়া জেলা পুলিশ।
5Z7uMLNcY1Y,রম ঝম রৗসকৗ তালাতে শুশনি বাড়ী (শুশনি) আতো  মাঃ মঁড়ে পরব হোয় সৗত এনা।
6veamQORI84,ভারত জাকাত মাজহি পারগানা মহল দিশম মাঃ মড়ে হোয় সাত এনা।
yzSAskURyMM,বাঁকুড়ার মাজুরিয়া ল্যাম্প ভবনে বহুজন ক্রান্তি মোর্চার আম্বেদকর জন্মজয়ন্তী উদযাপন।
qg8BwhTEBR8,শ্মশান যাত্রায় বল হরি হরি বোল এর পরিবর্তে মারাংবুরু  হিরলা ধ্বনি উচ্চারিত হলো পুরুলিয়ার পুঞ্চাতে।
