id,channel_id,duration(sec),domain
hEHbvQQCtuk,UCh2tAyCpIEZlvRF9K42BbNA,411,tv serials
IlDZEGqvlOU,UCx8MbRAMH-KNJuFLKdsmZ_w,651,podcast
JCWBsifNfhs,UCvlR1No5dUpAFGURo_6KFiw,845,audiobook
A5spWDJiDK4,UCh2tAyCpIEZlvRF9K42BbNA,2632,tv serials
CNagv47Jl7E,UCx8MbRAMH-KNJuFLKdsmZ_w,775,podcast
S5C8TqvY68Q,UCx8MbRAMH-KNJuFLKdsmZ_w,110,podcast
6H2vo2etmUY,UCx8MbRAMH-KNJuFLKdsmZ_w,85,podcast
i-Z-QT4dpq8,UCx8MbRAMH-KNJuFLKdsmZ_w,48,podcast
GghQ1FvSG1Q,UCvm8V4Dwtz0fbPGbpk7RYAg,484,"film interview,fashion,podcast,parliament discussion,sports interview"
9Y0-Lx_PnHE,UCfck6NNlJPdT5J0ajW8mUVw,299,kids stories
6PVcVTYM0EA,UCx8MbRAMH-KNJuFLKdsmZ_w,224,podcast
qdgjdhm54oc,UCx8MbRAMH-KNJuFLKdsmZ_w,198,podcast
iejbM5DegbM,UCx8MbRAMH-KNJuFLKdsmZ_w,150,podcast
BXAkhP-ECgE,UCx8MbRAMH-KNJuFLKdsmZ_w,117,podcast
T0sDPqU8sMo,UCGLv0gKOWpleaTPAieRJiag,891,documentary
koALnYtYFWc,UCx8MbRAMH-KNJuFLKdsmZ_w,62,podcast
iDRWnCzJSHg,UCn68MHKSGluDcSQbABxW4EQ,42,film interview
pLlae2SnT58,UCcTWxsdSV5J51ca_CftpTsw,382,documentary
mazuWCeheRA,UCJ5djr7ssnILE9zHQtb0-9g,672,kids stories
liRGhD9CSy0,UCh2tAyCpIEZlvRF9K42BbNA,2639,tv serials
nG79Eg8SD1Y,UCJ5djr7ssnILE9zHQtb0-9g,764,kids stories
r81Un2BVwPs,UCx8MbRAMH-KNJuFLKdsmZ_w,1059,podcast
ljBY0RNXkWo,UCx8MbRAMH-KNJuFLKdsmZ_w,175,podcast
s0-zvUHJLKM,UCx8MbRAMH-KNJuFLKdsmZ_w,882,podcast
moy39eunMxE,UCx8MbRAMH-KNJuFLKdsmZ_w,62,podcast
pKIvumMFHFs,UCx8MbRAMH-KNJuFLKdsmZ_w,216,podcast
xt-YFTxNtGg,UCJ5djr7ssnILE9zHQtb0-9g,767,kids stories
xfGIkwhAWjE,UCx8MbRAMH-KNJuFLKdsmZ_w,165,podcast
vnoNd923hiA,UCRpg-ZSRbmReVZ1BfHvQ3nA,321,education talk shows
2yTepqX831I,UCx8MbRAMH-KNJuFLKdsmZ_w,131,podcast
3_PiJ9_hS0k,UCvlR1No5dUpAFGURo_6KFiw,1834,audiobook
5W_3RHSCeFY,UCx8MbRAMH-KNJuFLKdsmZ_w,133,podcast
19GpaEA90wA,UCx8MbRAMH-KNJuFLKdsmZ_w,60,podcast
5ZJC4fTzmXs,UCfck6NNlJPdT5J0ajW8mUVw,483,kids stories
1O9CWtweZx0,UCvm8V4Dwtz0fbPGbpk7RYAg,644,"film interview,fashion,podcast,parliament discussion,sports interview"
7PemDegB-qQ,UCx8MbRAMH-KNJuFLKdsmZ_w,87,podcast
9ERHNbyg8jA,UCx8MbRAMH-KNJuFLKdsmZ_w,87,podcast
R4D9F7UaJC0,UCvm8V4Dwtz0fbPGbpk7RYAg,259,"film interview,fashion,podcast,parliament discussion,sports interview"
GZdF_esZH2U,UCx8MbRAMH-KNJuFLKdsmZ_w,33,podcast
IcY_2rr9tBU,UCx8MbRAMH-KNJuFLKdsmZ_w,86,podcast
Bu7nKtbu-s0,UCh2tAyCpIEZlvRF9K42BbNA,68,tv serials
AxLrROaTk_w,UCx8MbRAMH-KNJuFLKdsmZ_w,177,podcast
MLGyoE5FuWo,UCx8MbRAMH-KNJuFLKdsmZ_w,173,podcast
Q0U3BK_8d4Q,UCvm8V4Dwtz0fbPGbpk7RYAg,677,"film interview,fashion,podcast,parliament discussion,sports interview"
Y-c6ky3XZh0,UCezlxPT4YOnE7arrpc9yaWQ,1011,audiobook
VHIaaq3NVXk,UCPxumlwhpRDJ18oURMAvyNA,1470,news talk shows
VMCBk7a2clU,UCcTWxsdSV5J51ca_CftpTsw,843,documentary
XIpt89DAxVs,UCJ5djr7ssnILE9zHQtb0-9g,1090,kids stories
c5zxZcTtpjI,UCx8MbRAMH-KNJuFLKdsmZ_w,819,podcast
b8aEVZQWlwU,UCvlR1No5dUpAFGURo_6KFiw,1184,audiobook
bEoLd7POCPk,UCx8MbRAMH-KNJuFLKdsmZ_w,154,podcast
cLwyeyJ0P94,UCx8MbRAMH-KNJuFLKdsmZ_w,129,podcast
ZbSIQTscVvo,UCGLv0gKOWpleaTPAieRJiag,957,documentary
6uhKrIPk4q4,UCx8MbRAMH-KNJuFLKdsmZ_w,229,podcast
0Yk-L6Sm0kI,UCx8MbRAMH-KNJuFLKdsmZ_w,80,podcast
4KnawFZ7EIw,UCWp94bOdN8aMWuGTHpV66kQ,271,documentary
5Ny9kLuhYC8,UCWp94bOdN8aMWuGTHpV66kQ,200,documentary
ALeQWsFj9b4,UCvm8V4Dwtz0fbPGbpk7RYAg,1058,"film interview,fashion,podcast,parliament discussion,sports interview"
6OmxS3FhF6M,UCx8MbRAMH-KNJuFLKdsmZ_w,121,podcast
7j43BPxWv14,UCx8MbRAMH-KNJuFLKdsmZ_w,1011,podcast
XG7LwXraAog,UCx8MbRAMH-KNJuFLKdsmZ_w,92,podcast
DfAJ0yK8cok,UCx8MbRAMH-KNJuFLKdsmZ_w,24,podcast
C1LpEdQSEZU,UCx8MbRAMH-KNJuFLKdsmZ_w,218,podcast
HTQRelZdnDE,UCvm8V4Dwtz0fbPGbpk7RYAg,86,"film interview,fashion,podcast,parliament discussion,sports interview"
F7SSV6zOirU,UCx8MbRAMH-KNJuFLKdsmZ_w,60,podcast
Eksp1pgbTKs,UCx8MbRAMH-KNJuFLKdsmZ_w,203,podcast
K6mKGiXM50g,UCx8MbRAMH-KNJuFLKdsmZ_w,71,podcast
LOeexFk5PxA,UCvm8V4Dwtz0fbPGbpk7RYAg,1701,"film interview,fashion,podcast,parliament discussion,sports interview"
NCBl68g_Yo8,UCx8MbRAMH-KNJuFLKdsmZ_w,297,podcast
Kp4HW5R94wY,UCvm8V4Dwtz0fbPGbpk7RYAg,69,"film interview,fashion,podcast,parliament discussion,sports interview"
ICaSdJEavaM,UCx8MbRAMH-KNJuFLKdsmZ_w,296,podcast
NqDpBh_dJvo,UCx8MbRAMH-KNJuFLKdsmZ_w,1471,podcast
U0LzuWJMysk,UCGLv0gKOWpleaTPAieRJiag,842,documentary
XBhV5cZ_O90,UCUw6ERBSXLzIdNdeom9lBEQ,570,kids stories
UTWzlwpWCiU,UCx8MbRAMH-KNJuFLKdsmZ_w,175,podcast
X5MQMrd5tgE,UCfck6NNlJPdT5J0ajW8mUVw,263,kids stories
Xmky6vMEa_Q,UCPxumlwhpRDJ18oURMAvyNA,600,news talk shows
WnZUiikqm44,UCRpg-ZSRbmReVZ1BfHvQ3nA,43,education talk shows
UjIwfKmtiwU,UCh2tAyCpIEZlvRF9K42BbNA,2722,tv serials
VSPyfz2VhdU,UCJ5djr7ssnILE9zHQtb0-9g,590,kids stories
cquD08TI9yQ,UC5AIonHcsVrt3dnEEfsf0Hw,277,kids stories
azpfpRaYKhU,UCx8MbRAMH-KNJuFLKdsmZ_w,141,podcast
XoOt6cx5K_o,UCx8MbRAMH-KNJuFLKdsmZ_w,332,podcast
d3sgHzvmA_I,UCJ5djr7ssnILE9zHQtb0-9g,942,kids stories
YoJcI5KWj8k,UCx8MbRAMH-KNJuFLKdsmZ_w,108,podcast
bKD1161bdKU,UCJ5djr7ssnILE9zHQtb0-9g,618,kids stories
ZiXXf1_UXlw,UCh2tAyCpIEZlvRF9K42BbNA,716,tv serials
iEtPBODKS3s,UCGLv0gKOWpleaTPAieRJiag,681,documentary
fc6m6vKfxR0,UCx8MbRAMH-KNJuFLKdsmZ_w,142,podcast
ik9dXnKMQwk,UCJ5djr7ssnILE9zHQtb0-9g,920,kids stories
g8d5lhIit_A,UCx8MbRAMH-KNJuFLKdsmZ_w,3181,podcast
l2FNynepb00,UCvm8V4Dwtz0fbPGbpk7RYAg,86,"film interview,fashion,podcast,parliament discussion,sports interview"
mqmMugZK5T0,UCvlR1No5dUpAFGURo_6KFiw,1240,audiobook
jyUExgp_w9k,UCPxumlwhpRDJ18oURMAvyNA,834,news talk shows
jErqp4P6gFM,UCvlR1No5dUpAFGURo_6KFiw,624,audiobook
j2kFZF8U47E,UCx8MbRAMH-KNJuFLKdsmZ_w,709,podcast
lWjFaH90dA8,UCh2tAyCpIEZlvRF9K42BbNA,2599,tv serials
nqcj8fFw5V8,UCx8MbRAMH-KNJuFLKdsmZ_w,82,podcast
pkKMKtFkpSc,UCx8MbRAMH-KNJuFLKdsmZ_w,160,podcast
nMGN4oFJ7eI,UCJ5djr7ssnILE9zHQtb0-9g,589,kids stories
oO_NZbuN7MQ,UCJ5djr7ssnILE9zHQtb0-9g,757,kids stories
nImaHjGwrw0,UCx8MbRAMH-KNJuFLKdsmZ_w,52,podcast
rerdP-CZg-0,UCvlR1No5dUpAFGURo_6KFiw,1107,audiobook
rymR8Yx1V7c,UCvm8V4Dwtz0fbPGbpk7RYAg,673,"film interview,fashion,podcast,parliament discussion,sports interview"
uSE7xRd5VHI,UCx8MbRAMH-KNJuFLKdsmZ_w,757,podcast
wlTeaMkzXnQ,UCGLv0gKOWpleaTPAieRJiag,605,documentary
r6z8pUBqyJE,UCJ5djr7ssnILE9zHQtb0-9g,1029,kids stories
qAR9FQZ-9vA,UCx8MbRAMH-KNJuFLKdsmZ_w,46,podcast
zZlhJRGtsV4,UCvm8V4Dwtz0fbPGbpk7RYAg,173,"film interview,fashion,podcast,parliament discussion,sports interview"
y9H8HNQ9Wv8,UCvm8V4Dwtz0fbPGbpk7RYAg,130,"film interview,fashion,podcast,parliament discussion,sports interview"
-jt6f7aWowU,UCx8MbRAMH-KNJuFLKdsmZ_w,164,podcast
8SQ-wZZ8vw0,UCVs1n98XJp3gc1srmA7luBg,591,kids stories
AcUHHrO8mi8,UCvm8V4Dwtz0fbPGbpk7RYAg,152,"film interview,fashion,podcast,parliament discussion,sports interview"
EpyjPnb5p8Q,UCx8MbRAMH-KNJuFLKdsmZ_w,207,podcast
CzvmUGRcFF4,UCSp28Wtw15ESqFyBx68zApw,100,spiritual videos
Lfni8j4ZFB4,UCx8MbRAMH-KNJuFLKdsmZ_w,643,podcast
NndW_23mLbM,UCx8MbRAMH-KNJuFLKdsmZ_w,971,podcast
J_lOc93PrsI,UCvlR1No5dUpAFGURo_6KFiw,1443,audiobook
RU1kno0LHsM,UCx8MbRAMH-KNJuFLKdsmZ_w,130,podcast
Hp3WvWpSBHY,UCx8MbRAMH-KNJuFLKdsmZ_w,149,podcast
MIrDrA16Khs,UCx8MbRAMH-KNJuFLKdsmZ_w,1054,podcast
Ia8U8Ib_FGw,UCx8MbRAMH-KNJuFLKdsmZ_w,163,podcast
RqgPmfADeqk,UCx8MbRAMH-KNJuFLKdsmZ_w,261,podcast
TwfEo80ogUU,UCx8MbRAMH-KNJuFLKdsmZ_w,131,podcast
Rv6eqfjyrtU,UCx8MbRAMH-KNJuFLKdsmZ_w,150,podcast
VD7mOprPhNQ,UCh2tAyCpIEZlvRF9K42BbNA,2802,tv serials
T-_QgNzN1Dw,UCvlR1No5dUpAFGURo_6KFiw,2060,audiobook
YsK749dqjhY,UCplOtCSK5x3TRJfS3YC0Azw,294,education debates
b8kT1m3VnvM,UCx8MbRAMH-KNJuFLKdsmZ_w,104,podcast
_Szo7PoBl10,UCx8MbRAMH-KNJuFLKdsmZ_w,747,podcast
ZaewtKNnt9c,UCx8MbRAMH-KNJuFLKdsmZ_w,1500,podcast
YBBxy2vu1Nk,UCcTWxsdSV5J51ca_CftpTsw,727,documentary
ZnM0yyrEA4A,UCx8MbRAMH-KNJuFLKdsmZ_w,195,podcast
beSBnUG6FIQ,UCx8MbRAMH-KNJuFLKdsmZ_w,168,podcast
dGFtPA_I8-Q,UCh2tAyCpIEZlvRF9K42BbNA,2701,tv serials
ggS5tYjHVNc,UCUw6ERBSXLzIdNdeom9lBEQ,812,kids stories
dI0kF3xcYmE,UCx8MbRAMH-KNJuFLKdsmZ_w,46,podcast
eFymT9XPpCw,UCh2tAyCpIEZlvRF9K42BbNA,2462,tv serials
fBGgnq7NSzY,UCPxumlwhpRDJ18oURMAvyNA,825,news talk shows
ep-mb-bYQJI,UCx8MbRAMH-KNJuFLKdsmZ_w,146,podcast
wxWh8Xvhwu0,UCvlR1No5dUpAFGURo_6KFiw,1470,audiobook
kK__Ew5rk6U,UCh2tAyCpIEZlvRF9K42BbNA,276,tv serials
kOArwDlm0r0,UCvlR1No5dUpAFGURo_6KFiw,1436,audiobook
kS2w1yGzDDE,UCJ5djr7ssnILE9zHQtb0-9g,1069,kids stories
p9pBfTxMiB8,UCcTWxsdSV5J51ca_CftpTsw,956,documentary
kGsDtgJ2F7A,UCJ5djr7ssnILE9zHQtb0-9g,491,kids stories
rd4HISnEdtc,UCplOtCSK5x3TRJfS3YC0Azw,171,education debates
jbnaNucFbtg,UCh2tAyCpIEZlvRF9K42BbNA,2519,tv serials
lRy1KE0F-6c,UCx8MbRAMH-KNJuFLKdsmZ_w,60,podcast
w4omlX1IbQ4,UCx8MbRAMH-KNJuFLKdsmZ_w,1184,podcast
vKywLWlUaTA,UCB6a4ymuGiaqYfx4sgpAKPQ,1018,podcast
rEmKEGAz-is,UCx8MbRAMH-KNJuFLKdsmZ_w,1471,podcast
jSH4Cw496GA,UCJ5djr7ssnILE9zHQtb0-9g,750,kids stories
sIluytNqyQc,UCJ5djr7ssnILE9zHQtb0-9g,158,kids stories
tsQr94OprUo,UCJ5djr7ssnILE9zHQtb0-9g,633,kids stories
xYLJ1cIRXvA,UCx8MbRAMH-KNJuFLKdsmZ_w,104,podcast
yg5DpO8euGk,UCvm8V4Dwtz0fbPGbpk7RYAg,88,"film interview,fashion,podcast,parliament discussion,sports interview"
BwJojfNT-jw,UCZnl4ayr-e4n7ZCjMpOsAkw,268,education debates
Bky4_ai8IiU,UCx8MbRAMH-KNJuFLKdsmZ_w,175,podcast
gwprPDdPh0U,UCx8MbRAMH-KNJuFLKdsmZ_w,233,podcast
cTPklVMjKC0,UCPxumlwhpRDJ18oURMAvyNA,601,news talk shows
LDIQKgRWS94,UCj5eGAka22pGvd8JMsQglSQ,188,astrology
xavWL_UlLRM,UCvm8V4Dwtz0fbPGbpk7RYAg,110,"film interview,fashion,podcast,parliament discussion,sports interview"
ANsw3ZBFhWc,UCj5eGAka22pGvd8JMsQglSQ,195,astrology
zmiKaolrF1M,UCvm8V4Dwtz0fbPGbpk7RYAg,81,"film interview,fashion,podcast,parliament discussion,sports interview"
rBtKotfKwNA,UCSp28Wtw15ESqFyBx68zApw,385,spiritual videos
0ymSQssgXNg,UCx8MbRAMH-KNJuFLKdsmZ_w,96,podcast
o3zGO5-Bx-Q,UCx8MbRAMH-KNJuFLKdsmZ_w,137,podcast
2QKN7OFQ89k,UCx8MbRAMH-KNJuFLKdsmZ_w,136,podcast
zwuWwETjIPU,UCwpW0KwkQ4tHbH1tyYcHGJQ,227,entertainment debates
1NwYfp-hIYg,UCx8MbRAMH-KNJuFLKdsmZ_w,199,podcast
mZT0neczu9k,UCx8MbRAMH-KNJuFLKdsmZ_w,272,podcast
CgMNzklI0y0,UCx8MbRAMH-KNJuFLKdsmZ_w,125,podcast
YBx7BIYfSM8,UCvm8V4Dwtz0fbPGbpk7RYAg,133,"film interview,fashion,podcast,parliament discussion,sports interview"
cxdN4BW7LZE,UCx8MbRAMH-KNJuFLKdsmZ_w,200,podcast
VnHST7cNWng,UCx8MbRAMH-KNJuFLKdsmZ_w,195,podcast
xKFEPzMWIP8,UCx8MbRAMH-KNJuFLKdsmZ_w,114,podcast
nlGoqgS681U,UCx8MbRAMH-KNJuFLKdsmZ_w,140,podcast
RQFJ53yGWyc,UCx8MbRAMH-KNJuFLKdsmZ_w,171,podcast
Sl7Li6ibI6k,UCfck6NNlJPdT5J0ajW8mUVw,559,kids stories
UpFlErUokLw,UCx8MbRAMH-KNJuFLKdsmZ_w,956,podcast
_6usg9reahQ,UCh2tAyCpIEZlvRF9K42BbNA,2678,tv serials
ud4vTLodrH4,UCj5eGAka22pGvd8JMsQglSQ,253,astrology
WLVJKPFAoaY,UCx8MbRAMH-KNJuFLKdsmZ_w,53,podcast
K84je5krtww,UCx8MbRAMH-KNJuFLKdsmZ_w,73,podcast
-qt5pGiYBjQ,UCx8MbRAMH-KNJuFLKdsmZ_w,178,podcast
igdcINh1Mu8,UCvm8V4Dwtz0fbPGbpk7RYAg,287,"film interview,fashion,podcast,parliament discussion,sports interview"
x1iOir-LnZM,UCx8MbRAMH-KNJuFLKdsmZ_w,258,podcast
X_3vbn4uvFQ,UCx8MbRAMH-KNJuFLKdsmZ_w,149,podcast
Tf_Sd2hKhLE,UCx8MbRAMH-KNJuFLKdsmZ_w,65,podcast
h1coVIGf4WE,UCx8MbRAMH-KNJuFLKdsmZ_w,303,podcast
lPICI7Jq_7g,UCx8MbRAMH-KNJuFLKdsmZ_w,77,podcast
RWfyt5kuCQU,UCx8MbRAMH-KNJuFLKdsmZ_w,88,podcast
Sz-56O3GoFc,UCx8MbRAMH-KNJuFLKdsmZ_w,232,podcast
9ajQCDte-iY,UCx8MbRAMH-KNJuFLKdsmZ_w,161,podcast
8vvMAi7lRVU,UCx8MbRAMH-KNJuFLKdsmZ_w,43,podcast
6sokE7RsHgI,UCx8MbRAMH-KNJuFLKdsmZ_w,182,podcast
o9oUIJmgoQ4,UCx8MbRAMH-KNJuFLKdsmZ_w,90,podcast
LsXr_CatHvg,UCx8MbRAMH-KNJuFLKdsmZ_w,89,podcast
d5dAkEWLuAA,UCx8MbRAMH-KNJuFLKdsmZ_w,60,podcast
ooE_gkcjlQc,UCJ5djr7ssnILE9zHQtb0-9g,844,kids stories
y9VREnt3S-M,UCvlR1No5dUpAFGURo_6KFiw,1650,audiobook
OQqDJrMnQS0,UCx8MbRAMH-KNJuFLKdsmZ_w,60,podcast
NKpLqhK9_is,UCWp94bOdN8aMWuGTHpV66kQ,225,documentary
PhsTnPFUgjE,UCcTWxsdSV5J51ca_CftpTsw,639,documentary
REjhkZIKYWI,UCJ5djr7ssnILE9zHQtb0-9g,920,kids stories
U1IqCzgQwsE,UCJ5djr7ssnILE9zHQtb0-9g,671,kids stories
QJJdeVe4Yd8,UCx8MbRAMH-KNJuFLKdsmZ_w,43,podcast
QTha-jw-i0k,UCx8MbRAMH-KNJuFLKdsmZ_w,182,podcast
XugN8FObP7U,UCJ5djr7ssnILE9zHQtb0-9g,510,kids stories
Y4YOstFFbPQ,UCcTWxsdSV5J51ca_CftpTsw,1078,documentary
_hz0sGS7uM8,UCfck6NNlJPdT5J0ajW8mUVw,228,kids stories
Z2aOlipKMw4,UCx8MbRAMH-KNJuFLKdsmZ_w,851,podcast
VUN6RGTpqdc,UCx8MbRAMH-KNJuFLKdsmZ_w,72,podcast
_vKGQV3Yjww,UCvm8V4Dwtz0fbPGbpk7RYAg,213,"film interview,fashion,podcast,parliament discussion,sports interview"
cCD5DBOT7Uw,UCx8MbRAMH-KNJuFLKdsmZ_w,1470,podcast
e9npWuutTd8,UCx8MbRAMH-KNJuFLKdsmZ_w,161,podcast
csQTny05aNU,UCx8MbRAMH-KNJuFLKdsmZ_w,74,podcast
g6mo9QPmC9c,UCfck6NNlJPdT5J0ajW8mUVw,545,kids stories
gntM22hg5Cs,UCx8MbRAMH-KNJuFLKdsmZ_w,181,podcast
fF64Jt4ehDg,UCvlR1No5dUpAFGURo_6KFiw,1393,audiobook
hllHAwOHJJo,UCSp28Wtw15ESqFyBx68zApw,570,spiritual videos
